afgahg,Plugin Name,DNS Name,dfg,IP Address,Repository,Severity
EOL-523935,CentOS Linux SEoL (5.x),report-atlas-01134.labs.local,EOL-4061,10.24.4.110,CHA-MAIL-OPS,High
EOL-755076,CentOS Linux SEoL (5.x),portal-echo-10414.example.internal,EOL-3571,10.24.40.174,CHA-MAIL-OPS,Critical
EOL-759997,CentOS Linux SEoL (5.x),proxy-atlas-00109.labs.local,EOL-2034,10.24.0.109,CHA-MAIL-OPS,Critical
EOL-751888,Oracle Linux SEoL (6.x),batch-ember-17738.example.internal,EOL-3799,10.24.69.74,CHA-MAIL-OPS,Critical
EOL-692267,CentOS Linux SEoL (5.x),mon-harbor-09730.corp.local,EOL-6959,10.24.38.2,CHA-MAIL-OPS,High
EOL-486161,CentOS Linux SEoL (5.x),jump-pixel-19239.labs.local,EOL-5286,10.24.75.39,CHA-MAIL-OPS,High
EOL-984963,Ubuntu Linux SEoL (14.04),svc-delta-07567.assets.local,EOL-2063,10.24.29.143,CHA-MAIL-OPS,High
EOL-896253,Windows Server SEoL (2012 R2),worker-nova-06167.example.internal,EOL-7068,10.24.24.23,CHA-MAIL-OPS,High
EOL-702935,Windows Server SEoL (2012 R2),api-quartz-05084.example.internal,EOL-5195,10.24.19.220,CHA-MAIL-OPS,Critical
EOL-420583,Ubuntu Linux SEoL (16.04),queue-atlas-00570.labs.local,EOL-8365,10.24.2.58,CHA-MAIL-OPS,High
EOL-881699,Oracle Linux SEoL (6.x),edge-vector-16526.corp.local,EOL-9676,10.24.64.142,CHA-MAIL-OPS,High
EOL-982895,Ubuntu Linux SEoL (16.04),api-orion-02012.ops.local,EOL-2183,10.24.7.220,CHA-MAIL-OPS,High
EOL-554747,Ubuntu Linux SEoL (16.04),node-nova-08489.corp.local,EOL-6108,10.24.33.41,CHA-MAIL-OPS,High
EOL-969701,CentOS Linux SEoL (5.x),db-bravo-14492.assets.local,EOL-4225,10.24.56.156,CHA-MAIL-OPS,High
EOL-202464,CentOS Linux SEoL (4.x),batch-cedar-00182.example.internal,EOL-2708,10.24.0.182,CHA-MAIL-OPS,High
EOL-652346,Ubuntu Linux SEoL (14.04),dmz-bravo-01618.labs.local,EOL-9813,10.24.6.82,CHA-MAIL-OPS,Critical
EOL-937149,Red Hat Enterprise Linux SEoL (6.x),proxy-delta-02127.test.internal,EOL-8825,10.24.8.79,CHA-MAIL-OPS,Critical
EOL-232907,Ubuntu Linux SEoL (16.04),jump-nova-01868.ops.local,EOL-2050,10.24.7.76,CHA-MAIL-OPS,Critical
EOL-303951,CentOS Linux SEoL (4.x),worker-raven-19430.assets.local,EOL-7792,10.24.75.230,CHA-MAIL-OPS,High
EOL-495608,Oracle Linux SEoL (6.x),int-charlie-08615.example.internal,EOL-4287,10.24.33.167,CHA-MAIL-OPS,High
EOL-514779,Windows Server SEoL (2012 R2),report-zenith-05586.assets.local,EOL-1383,10.24.21.210,CHA-MAIL-OPS,High
EOL-441209,Windows Server SEoL (2012 R2),edge-raven-06560.example.internal,EOL-8790,10.24.25.160,CHA-MAIL-OPS,High
EOL-984011,Ubuntu Linux SEoL (14.04),proxy-matrix-17545.assets.local,EOL-2702,10.24.68.137,CHA-MAIL-OPS,High
EOL-323373,Windows Server SEoL (2012 R2),dmz-summit-18792.labs.local,EOL-4110,10.24.73.104,CHA-MAIL-OPS,High
EOL-848745,CentOS Linux SEoL (4.x),dmz-delta-13446.labs.local,EOL-2470,10.24.52.134,CHA-MAIL-OPS,High
EOL-423406,Red Hat Enterprise Linux SEoL (6.x),api-quartz-02322.corp.local,EOL-9040,10.24.9.18,CHA-MAIL-OPS,High
EOL-259942,Red Hat Enterprise Linux SEoL (6.x),api-raven-00256.test.internal,EOL-2696,10.24.1.254,CHA-MAIL-OPS,Critical
EOL-858133,Ubuntu Linux SEoL (16.04),proxy-summit-15114.example.internal,EOL-1114,10.24.59.10,CHA-MAIL-OPS,Critical
EOL-102258,Oracle Linux SEoL (6.x),node-delta-13113.test.internal,EOL-1935,10.24.51.57,CHA-MAIL-OPS,High
EOL-704483,Red Hat Enterprise Linux SEoL (6.x),batch-delta-07824.labs.local,EOL-8457,10.24.30.144,CHA-MAIL-OPS,Critical
EOL-591967,CentOS Linux SEoL (5.x),db-pixel-08342.example.internal,EOL-9438,10.24.32.150,CHA-MAIL-OPS,High
EOL-401506,CentOS Linux SEoL (4.x),app-harbor-09431.labs.local,EOL-5670,10.24.36.215,CHA-MAIL-OPS,High
EOL-911918,CentOS Linux SEoL (4.x),mon-cedar-07956.test.internal,EOL-9697,10.24.31.20,CHA-MAIL-OPS,Critical
EOL-235379,CentOS Linux SEoL (3.x),auth-pixel-19274.assets.local,EOL-7932,10.24.75.74,CHA-MAIL-OPS,High
EOL-138679,Ubuntu Linux SEoL (16.04),jump-alpha-12376.example.internal,EOL-8987,10.24.48.88,CHA-MAIL-OPS,Critical
EOL-994162,Windows Server SEoL (2008 R2),etl-harbor-15673.ops.local,EOL-4127,10.24.61.57,CHA-MAIL-OPS,High
EOL-296019,Windows Server SEoL (2012 R2),batch-vector-12455.assets.local,EOL-5879,10.24.48.167,CHA-MAIL-OPS,Critical
EOL-550840,Windows Server SEoL (2008 R2),jump-ember-03516.ops.local,EOL-4325,10.24.13.188,CHA-MAIL-OPS,High
EOL-201210,Windows Server SEoL (2008 R2),portal-zenith-17195.example.internal,EOL-3420,10.24.67.43,CHA-MAIL-OPS,High
EOL-803996,CentOS Linux SEoL (4.x),jump-orion-01947.ops.local,EOL-7105,10.24.7.155,CHA-MAIL-OPS,High
EOL-557935,CentOS Linux SEoL (4.x),web-falcon-10999.corp.local,EOL-4025,10.24.42.247,CHA-MAIL-OPS,Critical
EOL-402691,Windows Server SEoL (2012 R2),app-bravo-15761.test.internal,EOL-8754,10.24.61.145,CHA-MAIL-OPS,High
EOL-990291,Ubuntu Linux SEoL (16.04),svc-harbor-10486.corp.local,EOL-2983,10.24.40.246,CHA-MAIL-OPS,Critical
EOL-520697,CentOS Linux SEoL (5.x),portal-vector-08642.assets.local,EOL-4659,10.24.33.194,CHA-MAIL-OPS,Critical
EOL-454344,Windows Server SEoL (2012 R2),portal-harbor-14788.assets.local,EOL-3771,10.24.57.196,CHA-MAIL-OPS,High
EOL-149386,Red Hat Enterprise Linux SEoL (6.x),cache-harbor-13198.assets.local,EOL-3634,10.24.51.142,CHA-MAIL-OPS,High
EOL-949569,Windows Server SEoL (2008 R2),jump-harbor-11505.example.internal,EOL-4104,10.24.44.241,CHA-MAIL-OPS,High
EOL-300493,Windows Server SEoL (2012 R2),etl-ember-15877.corp.local,EOL-4362,10.24.62.5,CHA-MAIL-OPS,High
EOL-158005,Red Hat Enterprise Linux SEoL (6.x),worker-summit-04078.example.internal,EOL-4912,10.24.15.238,CHA-MAIL-OPS,High
EOL-523380,Red Hat Enterprise Linux SEoL (6.x),edge-pixel-16621.test.internal,EOL-9158,10.24.64.237,CHA-MAIL-OPS,Critical
EOL-759019,Red Hat Enterprise Linux SEoL (6.x),etl-raven-13136.assets.local,EOL-6875,10.24.51.80,CHA-MAIL-OPS,High
EOL-917366,CentOS Linux SEoL (3.x),edge-ember-15325.assets.local,EOL-2405,10.24.59.221,CHA-MAIL-OPS,High
EOL-912464,Windows Server SEoL (2012 R2),cache-pixel-15825.assets.local,EOL-1136,10.24.61.209,CHA-MAIL-OPS,High
EOL-788857,Red Hat Enterprise Linux SEoL (6.x),report-orion-18310.test.internal,EOL-9156,10.24.71.134,CHA-MAIL-OPS,Critical
EOL-792792,Red Hat Enterprise Linux SEoL (6.x),etl-harbor-13117.ops.local,EOL-5671,10.24.51.61,CHA-MAIL-OPS,High
EOL-797995,Ubuntu Linux SEoL (14.04),proxy-alpha-16032.ops.local,EOL-1649,10.24.62.160,CHA-MAIL-OPS,High
EOL-137067,Windows Server SEoL (2012 R2),web-pixel-19704.example.internal,EOL-1490,10.24.76.248,CHA-MAIL-OPS,Critical
EOL-131856,Ubuntu Linux SEoL (16.04),node-harbor-19659.assets.local,EOL-6504,10.24.76.203,CHA-MAIL-OPS,High
EOL-666270,Oracle Linux SEoL (6.x),api-pixel-02622.assets.local,EOL-4848,10.24.10.62,CHA-MAIL-OPS,High
EOL-875881,CentOS Linux SEoL (3.x),auth-alpha-07124.corp.local,EOL-6655,10.24.27.212,CHA-MAIL-OPS,High
EOL-283798,Windows Server SEoL (2008 R2),edge-alpha-03642.corp.local,EOL-7348,10.24.14.58,CHA-MAIL-OPS,High
EOL-989509,CentOS Linux SEoL (5.x),mon-quartz-07211.assets.local,EOL-3256,10.24.28.43,BRA-MONGO-SVC,High
EOL-917356,Red Hat Enterprise Linux SEoL (6.x),svc-ember-11332.example.internal,EOL-4025,10.24.44.68,BRA-MONGO-SVC,High
EOL-962255,Ubuntu Linux SEoL (14.04),dmz-orion-19332.test.internal,EOL-3936,10.24.75.132,BRA-MONGO-SVC,High
EOL-905211,Windows Server SEoL (2008 R2),api-atlas-19624.corp.local,EOL-5156,10.24.76.168,BRA-MONGO-SVC,High
EOL-365243,CentOS Linux SEoL (3.x),auth-quartz-10686.ops.local,EOL-8430,10.24.41.190,BRA-MONGO-SVC,High
EOL-210182,Windows Server SEoL (2008 R2),cache-quartz-07830.labs.local,EOL-6200,10.24.30.150,BRA-MONGO-SVC,High
EOL-763493,Red Hat Enterprise Linux SEoL (6.x),app-echo-17623.assets.local,EOL-9805,10.24.68.215,BRA-MONGO-SVC,Critical
EOL-328538,CentOS Linux SEoL (3.x),node-harbor-04555.test.internal,EOL-2687,10.24.17.203,BRA-MONGO-SVC,High
EOL-131768,Windows Server SEoL (2012 R2),etl-summit-16686.assets.local,EOL-5562,10.24.65.46,BRA-MONGO-SVC,Critical
EOL-288146,CentOS Linux SEoL (3.x),mon-zenith-06549.corp.local,EOL-2599,10.24.25.149,BRA-MONGO-SVC,Critical
EOL-280529,Red Hat Enterprise Linux SEoL (6.x),svc-falcon-12263.corp.local,EOL-3674,10.24.47.231,ALP-ORDER-OPS,High
EOL-706845,Windows Server SEoL (2008 R2),etl-delta-03796.corp.local,EOL-1821,10.24.14.212,ALP-ORDER-OPS,Critical
EOL-259533,Windows Server SEoL (2008 R2),app-harbor-13309.corp.local,EOL-2223,10.24.51.253,ALP-ORDER-OPS,High
EOL-399721,CentOS Linux SEoL (5.x),edge-pixel-14566.assets.local,EOL-8022,10.24.56.230,ALP-ORDER-OPS,High
EOL-465287,Oracle Linux SEoL (6.x),edge-echo-02525.test.internal,EOL-7864,10.24.9.221,ALP-ORDER-OPS,High
EOL-228695,CentOS Linux SEoL (5.x),queue-raven-06742.example.internal,EOL-5963,10.24.26.86,ALP-ORDER-OPS,High
EOL-313003,Oracle Linux SEoL (6.x),svc-quartz-09702.assets.local,EOL-1303,10.24.37.230,ALP-ORDER-OPS,High
EOL-201693,Ubuntu Linux SEoL (16.04),db-orion-01937.example.internal,EOL-2370,10.24.7.145,ALP-ORDER-OPS,Critical
EOL-501654,Ubuntu Linux SEoL (16.04),etl-echo-04876.ops.local,EOL-6946,10.24.19.12,ALP-ORDER-OPS,High
EOL-553352,CentOS Linux SEoL (3.x),app-alpha-03444.corp.local,EOL-6942,10.24.13.116,ALP-ORDER-OPS,High
EOL-593773,CentOS Linux SEoL (5.x),node-summit-17905.assets.local,EOL-6361,10.24.69.241,ALP-ORDER-OPS,High
EOL-628207,Ubuntu Linux SEoL (14.04),mon-charlie-00921.example.internal,EOL-5239,10.24.3.153,ALP-ORDER-OPS,Critical
EOL-770832,CentOS Linux SEoL (4.x),cache-raven-10673.ops.local,EOL-2089,10.24.41.177,ALP-ORDER-OPS,High
EOL-758435,CentOS Linux SEoL (3.x),api-pixel-16543.example.internal,EOL-5568,10.24.64.159,ALP-ORDER-OPS,High
EOL-588786,Red Hat Enterprise Linux SEoL (6.x),cache-foxtrot-04997.test.internal,EOL-5954,10.24.19.133,ALP-ORDER-OPS,Critical
EOL-521488,Ubuntu Linux SEoL (16.04),batch-cedar-19035.ops.local,EOL-8217,10.24.74.91,ALP-ADMIN-SVC,Critical
EOL-769940,Oracle Linux SEoL (6.x),node-foxtrot-17061.corp.local,EOL-4569,10.24.66.165,ALP-ADMIN-SVC,High
EOL-988547,CentOS Linux SEoL (4.x),node-falcon-03692.labs.local,EOL-2740,10.24.14.108,ALP-ADMIN-SVC,High
EOL-743867,CentOS Linux SEoL (5.x),auth-vector-05580.assets.local,EOL-1330,10.24.21.204,ALP-ADMIN-SVC,High
EOL-514968,Windows Server SEoL (2012 R2),etl-zenith-16447.example.internal,EOL-6383,10.24.64.63,ALP-ADMIN-SVC,High
EOL-267921,Windows Server SEoL (2008 R2),int-summit-17279.labs.local,EOL-3685,10.24.67.127,ALP-ADMIN-SVC,High
EOL-549566,CentOS Linux SEoL (3.x),edge-raven-06235.corp.local,EOL-1341,10.24.24.91,ALP-ADMIN-SVC,High
EOL-852282,Windows Server SEoL (2008 R2),mon-cedar-08148.ops.local,EOL-6320,10.24.31.212,ALP-ADMIN-SVC,Critical
EOL-515523,Oracle Linux SEoL (6.x),batch-falcon-05751.test.internal,EOL-1351,10.24.22.119,ALP-ADMIN-SVC,High
EOL-484643,CentOS Linux SEoL (5.x),app-foxtrot-01230.assets.local,EOL-1798,10.24.4.206,ALP-ADMIN-SVC,High
EOL-443683,Ubuntu Linux SEoL (16.04),node-alpha-12633.test.internal,EOL-6619,10.24.49.89,ALP-ADMIN-SVC,Critical
EOL-353467,CentOS Linux SEoL (5.x),api-alpha-06274.labs.local,EOL-1986,10.24.24.130,ALP-ADMIN-SVC,High
EOL-114217,CentOS Linux SEoL (5.x),db-atlas-10658.labs.local,EOL-8150,10.24.41.162,ALP-ADMIN-SVC,Critical
EOL-377011,Windows Server SEoL (2012 R2),api-quartz-05196.example.internal,EOL-2827,10.24.20.76,ALP-ADMIN-SVC,High
EOL-387820,Ubuntu Linux SEoL (16.04),proxy-echo-18493.example.internal,EOL-6305,10.24.72.61,ALP-ADMIN-SVC,High
EOL-785866,Ubuntu Linux SEoL (16.04),report-foxtrot-09442.assets.local,EOL-3186,10.24.36.226,ALP-ADMIN-SVC,High
EOL-108675,Windows Server SEoL (2012 R2),dmz-bravo-17617.test.internal,EOL-5611,10.24.68.209,ALP-ADMIN-SVC,Critical
EOL-595793,Ubuntu Linux SEoL (14.04),queue-alpha-11429.example.internal,EOL-4216,10.24.44.165,ALP-ADMIN-SVC,High
