IP Address,DNS Name,Repository,Crit.,High,Med.,Low
10.24.0.39,proxy-bravo-00039.example.internal,BRA-CACHE-OPS,17,3,1,3
10.24.0.40,dmz-charlie-00040.test.internal,CHA-VPN-OPS,24,4,5,5
10.24.0.41,db-orion-00041.corp.local,ALP-BILLING-SYS,3,2,1,5
10.24.0.42,db-falcon-00042.corp.local,BRA-REDIS-OPS,8,1,3,5
10.24.0.43,dmz-atlas-00043.labs.local,LEG-LEGACY-IDM-APP,11,4,5,5
10.24.0.44,mon-raven-00044.labs.local,ALP-WEB-OPS,21,5,3,4
10.24.0.45,proxy-pixel-00045.labs.local,BRA-STREAM-APP,30,1,1,4
10.24.0.46,mon-cedar-00046.test.internal,LEG-LEGACY-CRM-SVC,17,5,2,5
10.24.0.47,batch-cedar-00047.example.internal,BRA-SYNC-APP,6,3,2,4
10.24.0.48,svc-cedar-00048.test.internal,CHA-JUMP-SVC,8,5,3,5
10.24.0.49,batch-echo-00049.assets.local,ALP-REPORT-SYS,16,3,5,5
10.24.0.50,etl-alpha-00050.ops.local,CHA-MAIL-OPS,4,5,1,1
10.24.0.51,app-delta-00051.ops.local,ALP-PORTAL-OPS,13,5,4,5
10.24.0.52,queue-atlas-00052.labs.local,CHA-WAF-APP,9,2,1,1
10.24.0.53,int-nova-00053.test.internal,LEG-LEGACY-IDM-APP,13,4,5,4
10.24.0.54,web-raven-00054.example.internal,BRA-INDEX-SVC,15,1,3,4
10.24.0.55,queue-summit-00055.labs.local,ALP-BILLING-SYS,1,4,3,4
10.24.0.56,etl-bravo-00056.assets.local,ALP-ORDER-OPS,24,3,4,2
10.24.0.57,auth-nova-00057.corp.local,CHA-VPN-OPS,20,4,4,3
10.24.0.58,portal-foxtrot-00058.test.internal,ALP-WEB-OPS,21,3,5,2
10.24.0.59,node-raven-00059.corp.local,ALP-ADMIN-SVC,28,3,4,2
10.24.0.60,int-bravo-00060.assets.local,ALP-PORTAL-OPS,16,3,5,4
10.24.0.61,web-summit-00061.corp.local,BRA-DATA-APP,16,5,2,4
10.24.0.62,worker-bravo-00062.ops.local,BRA-CACHE-OPS,13,3,4,5
10.24.0.63,proxy-nova-00063.assets.local,CHA-MONITOR-SVC,3,5,5,5
10.24.0.64,auth-summit-00064.example.internal,LEG-LEGACY-FIN-OPS,6,2,4,5
10.24.0.65,report-ember-00065.assets.local,BRA-STREAM-APP,22,4,1,2
10.24.0.66,app-alpha-00066.test.internal,LEG-LEGACY-FIN-OPS,5,3,5,4
10.24.0.67,queue-alpha-00067.test.internal,CHA-JUMP-SVC,8,3,5,4
10.24.0.68,cache-nova-00068.corp.local,ALP-ORDER-OPS,21,4,4,3
10.24.0.69,dmz-nova-00069.test.internal,ALP-REPORT-SYS,29,5,2,5
10.24.0.70,portal-pixel-00070.test.internal,BRA-BI-SYS,30,1,3,5
10.24.0.71,api-falcon-00071.corp.local,CHA-BACKUP-APP,14,4,4,1
10.24.0.72,svc-raven-00072.labs.local,ALP-ORDER-OPS,28,1,1,5
10.24.0.73,api-ember-00073.example.internal,BRA-WAREHOUSE-SVC,23,2,1,1
10.24.0.74,edge-zenith-00074.test.internal,BRA-CACHE-OPS,15,5,5,1
10.24.0.75,dmz-charlie-00075.ops.local,CHA-PROXY-SYS,27,4,3,5
10.24.0.76,app-atlas-00076.ops.local,BRA-ETL-APP,9,1,1,5
10.24.0.77,web-echo-00077.corp.local,BRA-BATCH-SYS,16,1,4,4
10.24.0.78,etl-pixel-00078.labs.local,BRA-BATCH-SYS,16,1,5,4
10.24.0.79,jump-harbor-00079.assets.local,CHA-WAF-APP,6,3,4,4
10.24.0.80,edge-orion-00080.test.internal,ALP-BILLING-SYS,7,2,4,5
10.24.0.81,report-matrix-00081.corp.local,ALP-ORDER-OPS,22,4,3,5
10.24.0.82,int-harbor-00082.corp.local,CHA-PROXY-SYS,30,4,3,5
10.24.0.83,proxy-vector-00083.test.internal,BRA-BI-SYS,30,1,3,2
10.24.0.84,cache-foxtrot-00084.assets.local,ALP-PORTAL-OPS,16,4,3,5
10.24.0.85,auth-atlas-00085.ops.local,ALP-API-APP,18,3,4,2
10.24.0.86,cache-harbor-00086.labs.local,ALP-BILLING-SYS,3,2,2,4
10.24.0.87,etl-atlas-00087.labs.local,BRA-MODEL-APP,3,1,4,4
10.24.0.88,db-cedar-00088.ops.local,CHA-MONITOR-SVC,2,5,4,4
10.24.0.89,portal-matrix-00089.corp.local,CHA-MAIL-OPS,8,4,4,1
10.24.0.90,app-orion-00090.corp.local,ALP-PROFILE-SYS,24,5,4,4
10.24.0.91,app-zenith-00091.test.internal,BRA-REDIS-OPS,5,4,4,3
10.24.0.92,auth-raven-00092.ops.local,ALP-PROFILE-SYS,19,3,3,3
10.24.0.93,int-cedar-00093.example.internal,BRA-DATA-APP,14,1,2,1
10.24.0.94,worker-quartz-00094.example.internal,LEG-LEGACY-ERP-OPS,20,5,4,3
10.24.0.95,proxy-summit-00095.test.internal,ALP-API-APP,20,2,5,4
10.24.0.96,app-orion-00096.corp.local,BRA-BATCH-SYS,19,4,4,5
10.24.0.97,report-nova-00097.example.internal,CHA-PROXY-SYS,30,4,4,4
10.24.0.98,api-delta-00098.assets.local,BRA-INGEST-SYS,10,1,1,5
10.24.0.99,mon-raven-00099.test.internal,ALP-ORDER-OPS,25,1,3,3
10.24.0.100,worker-atlas-00100.example.internal,LEG-LEGACY-ERP-OPS,17,4,3,5
10.24.0.101,proxy-raven-00101.assets.local,LEG-LEGACY-CRM-SVC,12,5,5,5
10.24.0.102,db-summit-00102.test.internal,BRA-LAKE-SYS,1,3,4,3
10.24.0.103,report-charlie-00103.test.internal,CHA-MONITOR-SVC,3,4,5,5
10.24.0.104,mon-vector-00104.example.internal,LEG-LEGACY-FIN-OPS,3,4,5,2
10.24.0.105,auth-vector-00105.assets.local,ALP-AUTH-SVC,17,4,4,4
10.24.0.106,worker-vector-00106.test.internal,BRA-REDIS-OPS,8,5,1,3
10.24.0.107,app-bravo-00107.corp.local,CHA-PROXY-SYS,30,5,5,4
10.24.0.108,batch-vector-00108.example.internal,CHA-MAIL-OPS,7,4,3,1
10.24.0.109,proxy-atlas-00109.labs.local,CHA-MAIL-OPS,6,4,2,4
10.24.0.110,portal-nova-00110.ops.local,BRA-BATCH-SYS,14,2,3,5
10.24.0.111,proxy-alpha-00111.test.internal,BRA-REDIS-OPS,5,3,3,4
10.24.0.112,int-summit-00112.test.internal,CHA-JUMP-SVC,6,3,2,3
10.24.0.113,batch-orion-00113.labs.local,LEG-LEGACY-CRM-SVC,12,5,4,5
10.24.0.114,proxy-foxtrot-00114.test.internal,ALP-PORTAL-OPS,13,5,5,5
10.24.0.115,auth-alpha-00115.labs.local,ALP-AUTH-SVC,18,5,5,3
10.24.0.116,auth-foxtrot-00116.ops.local,CHA-BACKUP-APP,15,1,5,2
10.24.0.117,node-ember-00117.assets.local,ALP-PORTAL-OPS,16,5,5,5
10.24.0.118,report-ember-00118.ops.local,CHA-MONITOR-SVC,2,4,4,5
10.24.0.119,batch-quartz-00119.labs.local,LEG-LEGACY-HR-OPS,20,4,5,4
10.24.0.120,svc-ember-00120.corp.local,BRA-INGEST-SYS,10,2,1,2
10.24.0.121,auth-atlas-00121.labs.local,CHA-EDGE-SVC,15,2,1,1
10.24.0.122,node-pixel-00122.labs.local,ALP-API-APP,25,1,2,5
10.24.0.123,edge-quartz-00123.corp.local,ALP-WEB-OPS,20,5,4,3
10.24.0.124,batch-alpha-00124.test.internal,BRA-DATA-APP,17,1,2,3
10.24.0.125,api-delta-00125.labs.local,BRA-INDEX-SVC,11,5,4,3
10.24.0.126,portal-atlas-00126.corp.local,BRA-STREAM-APP,27,1,1,4
10.24.0.127,node-summit-00127.ops.local,ALP-ADMIN-SVC,29,3,1,1
10.24.0.128,auth-zenith-00128.assets.local,CHA-VPN-OPS,30,1,1,5
10.24.0.129,app-matrix-00129.assets.local,ALP-PAY-OPS,21,1,5,1
10.24.0.130,report-quartz-00130.ops.local,BRA-INGEST-SYS,9,1,1,3
10.24.0.131,edge-raven-00131.example.internal,ALP-NOTIFY-SVC,30,3,3,3
10.24.0.132,etl-falcon-00132.corp.local,BRA-INDEX-SVC,13,2,2,1
10.24.0.133,cache-falcon-00133.labs.local,ALP-AUTH-SVC,19,5,5,5
10.24.0.134,db-raven-00134.example.internal,BRA-ANALYTICS-APP,26,4,1,1
10.24.0.135,etl-delta-00135.assets.local,ALP-SEARCH-APP,7,3,1,5
10.24.0.136,queue-vector-00136.ops.local,LEG-LEGACY-FIN-OPS,5,5,3,3
10.24.0.137,mon-harbor-00137.assets.local,LEG-LEGACY-HR-OPS,21,5,4,4
10.24.0.138,queue-ember-00138.example.internal,LEG-LEGACY-ERP-OPS,28,4,5,3
10.24.0.139,portal-bravo-00139.labs.local,BRA-ETL-APP,9,4,5,5
10.24.0.140,proxy-atlas-00140.ops.local,LEG-LEGACY-IDM-APP,12,5,3,5
10.24.0.141,worker-summit-00141.corp.local,LEG-LEGACY-CRM-SVC,11,4,4,5
10.24.0.142,db-alpha-00142.assets.local,ALP-API-APP,21,3,5,4
10.24.0.143,auth-bravo-00143.ops.local,BRA-INGEST-SYS,10,3,5,2
10.24.0.144,app-foxtrot-00144.labs.local,BRA-WAREHOUSE-SVC,26,3,4,4
10.24.0.145,db-foxtrot-00145.example.internal,BRA-BATCH-SYS,14,5,2,5
10.24.0.146,queue-falcon-00146.test.internal,BRA-DATA-APP,16,4,2,2
10.24.0.147,int-bravo-00147.example.internal,CHA-VPN-OPS,30,2,2,2
10.24.0.148,web-matrix-00148.ops.local,ALP-SEARCH-APP,7,2,5,1
10.24.0.149,queue-falcon-00149.labs.local,LEG-LEGACY-ERP-OPS,30,5,3,4
10.24.0.150,proxy-cedar-00150.assets.local,BRA-REDIS-OPS,5,5,2,1
10.24.0.151,cache-foxtrot-00151.example.internal,ALP-API-APP,20,5,4,4
10.24.0.152,mon-falcon-00152.example.internal,LEG-LEGACY-IDM-APP,14,5,4,5
10.24.0.153,etl-nova-00153.ops.local,ALP-PORTAL-OPS,14,5,3,5
10.24.0.154,proxy-charlie-00154.ops.local,BRA-POSTGRES-APP,14,1,5,3
10.24.0.155,svc-matrix-00155.corp.local,ALP-PAY-OPS,21,5,3,3
10.24.0.156,auth-ember-00156.labs.local,CHA-DNS-APP,30,5,3,3
10.24.0.157,etl-bravo-00157.example.internal,ALP-BILLING-SYS,4,5,4,3
10.24.0.158,app-echo-00158.assets.local,ALP-PROFILE-SYS,21,4,5,4
10.24.0.159,dmz-vector-00159.corp.local,LEG-LEGACY-CRM-SVC,12,1,5,5
10.24.0.160,etl-charlie-00160.assets.local,BRA-BI-SYS,30,2,1,2
10.24.0.161,report-orion-00161.example.internal,BRA-MONGO-SVC,10,1,3,2
10.24.0.162,report-nova-00162.ops.local,ALP-PORTAL-OPS,17,5,1,5
10.24.0.163,proxy-falcon-00163.ops.local,BRA-REDIS-OPS,6,3,3,3
10.24.0.164,jump-bravo-00164.labs.local,CHA-WAF-APP,6,2,2,3
10.24.0.165,web-delta-00165.ops.local,CHA-PROXY-SYS,30,4,3,5
10.24.0.166,web-zenith-00166.example.internal,BRA-CACHE-OPS,15,4,1,4
10.24.0.167,edge-orion-00167.example.internal,LEG-LEGACY-FIN-OPS,7,5,2,4
10.24.0.168,dmz-vector-00168.labs.local,BRA-WAREHOUSE-SVC,17,5,4,4
10.24.0.169,batch-delta-00169.assets.local,BRA-REDIS-OPS,8,5,2,3
10.24.0.170,app-alpha-00170.example.internal,ALP-PROFILE-SYS,25,1,5,5
10.24.0.171,report-ember-00171.test.internal,ALP-NOTIFY-SVC,30,3,5,2
10.24.0.172,batch-delta-00172.test.internal,CHA-PROXY-SYS,30,5,5,4
10.24.0.173,worker-orion-00173.assets.local,BRA-POSTGRES-APP,11,2,2,1
10.24.0.174,cache-delta-00174.assets.local,CHA-PROXY-SYS,30,5,4,5
10.24.0.175,api-nova-00175.test.internal,LEG-LEGACY-HR-OPS,21,4,3,4
10.24.0.176,report-summit-00176.ops.local,ALP-ADMIN-SVC,17,4,2,5
10.24.0.177,proxy-cedar-00177.test.internal,ALP-PROFILE-SYS,20,4,5,3
10.24.0.178,dmz-ember-00178.example.internal,BRA-WAREHOUSE-SVC,20,5,5,3
10.24.0.179,proxy-vector-00179.corp.local,CHA-DNS-APP,30,3,5,4
10.24.0.180,int-pixel-00180.corp.local,ALP-WEB-OPS,23,1,5,4
10.24.0.181,queue-pixel-00181.corp.local,ALP-PROFILE-SYS,23,4,1,4
10.24.0.182,batch-cedar-00182.example.internal,CHA-MAIL-OPS,6,3,5,5
10.24.0.183,auth-harbor-00183.assets.local,LEG-LEGACY-HR-OPS,24,4,4,4
10.24.0.184,queue-bravo-00184.test.internal,ALP-PORTAL-OPS,17,4,5,5
10.24.0.185,proxy-zenith-00185.test.internal,CHA-EDGE-SVC,16,2,5,2
10.24.0.186,api-alpha-00186.assets.local,ALP-PROFILE-SYS,20,3,3,3
10.24.0.187,worker-foxtrot-00187.labs.local,ALP-REPORT-SYS,27,1,5,2
10.24.0.188,batch-bravo-00188.example.internal,BRA-KAFKA-SVC,27,1,4,2
10.24.0.189,edge-charlie-00189.corp.local,LEG-LEGACY-HR-OPS,30,3,3,4
10.24.0.190,portal-zenith-00190.labs.local,CHA-EDGE-SVC,16,5,1,2
10.24.0.191,batch-harbor-00191.test.internal,BRA-INDEX-SVC,13,5,2,5
10.24.0.192,proxy-alpha-00192.ops.local,LEG-LEGACY-FIN-OPS,2,5,4,3
10.24.0.193,edge-foxtrot-00193.test.internal,LEG-LEGACY-IDM-APP,12,5,5,4
10.24.0.194,worker-ember-00194.assets.local,LEG-LEGACY-FIN-OPS,6,3,4,4
10.24.0.195,portal-falcon-00195.corp.local,LEG-LEGACY-ERP-OPS,28,4,5,5
10.24.0.196,db-raven-00196.test.internal,LEG-LEGACY-CRM-SVC,13,5,5,4
10.24.0.197,web-zenith-00197.assets.local,BRA-STREAM-APP,27,3,4,4
10.24.0.198,portal-echo-00198.ops.local,BRA-SYNC-APP,5,4,2,2
10.24.0.199,mon-zenith-00199.labs.local,LEG-LEGACY-FIN-OPS,3,5,5,4
10.24.0.200,batch-raven-00200.ops.local,LEG-LEGACY-FIN-OPS,4,5,4,3
10.24.0.201,jump-summit-00201.example.internal,ALP-BILLING-SYS,2,4,5,4
10.24.0.202,cache-ember-00202.labs.local,BRA-KAFKA-SVC,19,4,2,1
10.24.0.203,db-orion-00203.corp.local,BRA-KAFKA-SVC,24,2,4,2
10.24.0.204,jump-zenith-00204.labs.local,BRA-MONGO-SVC,10,5,2,1
10.24.0.205,svc-alpha-00205.assets.local,ALP-PORTAL-OPS,13,5,5,3
10.24.0.206,app-delta-00206.test.internal,BRA-MONGO-SVC,11,2,5,3
10.24.0.207,report-zenith-00207.ops.local,ALP-BILLING-SYS,2,3,3,4
10.24.0.208,etl-echo-00208.test.internal,LEG-LEGACY-ERP-OPS,30,4,4,3
10.24.0.209,mon-delta-00209.test.internal,BRA-SYNC-APP,8,1,5,2
10.24.0.210,report-summit-00210.assets.local,LEG-LEGACY-CRM-SVC,12,4,3,5
10.24.0.211,edge-alpha-00211.example.internal,BRA-ANALYTICS-APP,22,2,4,2
10.24.0.212,cache-alpha-00212.corp.local,ALP-AUTH-SVC,16,4,5,3
10.24.0.213,portal-alpha-00213.example.internal,ALP-SEARCH-APP,10,5,3,2
10.24.0.214,worker-delta-00214.labs.local,BRA-WAREHOUSE-SVC,18,3,4,1
10.24.0.215,proxy-summit-00215.example.internal,ALP-ORDER-OPS,18,2,5,2
10.24.0.216,portal-quartz-00216.ops.local,LEG-LEGACY-ERP-OPS,24,4,5,4
10.24.0.217,worker-vector-00217.test.internal,CHA-DNS-APP,30,4,3,4
10.24.0.218,worker-delta-00218.ops.local,LEG-LEGACY-ERP-OPS,25,5,4,5
10.24.0.219,auth-pixel-00219.ops.local,CHA-DNS-APP,30,5,2,5
10.24.0.220,web-foxtrot-00220.ops.local,ALP-PAY-OPS,23,3,3,5
10.24.0.221,cache-falcon-00221.assets.local,BRA-MONGO-SVC,10,3,1,1
10.24.0.222,auth-foxtrot-00222.corp.local,LEG-LEGACY-ERP-OPS,28,5,5,4
10.24.0.223,dmz-alpha-00223.ops.local,BRA-LAKE-SYS,3,5,2,3
10.24.0.224,batch-harbor-00224.labs.local,BRA-ANALYTICS-APP,22,5,5,5
10.24.0.225,jump-harbor-00225.labs.local,LEG-LEGACY-IDM-APP,10,5,2,5
10.24.0.226,dmz-pixel-00226.corp.local,LEG-LEGACY-IDM-APP,12,5,5,4
10.24.0.227,auth-matrix-00227.test.internal,LEG-LEGACY-HR-OPS,21,3,4,3
10.24.0.228,web-nova-00228.test.internal,LEG-LEGACY-HR-OPS,25,3,5,2
10.24.0.229,svc-zenith-00229.test.internal,CHA-WAF-APP,7,1,2,4
10.24.0.230,batch-quartz-00230.corp.local,BRA-ANALYTICS-APP,18,3,4,1
10.24.0.231,auth-foxtrot-00231.example.internal,CHA-BACKUP-APP,14,4,1,5
10.24.0.232,proxy-harbor-00232.example.internal,CHA-PROXY-SYS,29,3,4,4
10.24.0.233,queue-charlie-00233.ops.local,BRA-MODEL-APP,3,3,3,5
10.24.0.234,portal-falcon-00234.example.internal,ALP-AUTH-SVC,15,5,5,3
10.24.0.235,db-summit-00235.assets.local,ALP-BILLING-SYS,3,4,2,2
10.24.0.236,svc-harbor-00236.example.internal,BRA-ANALYTICS-APP,12,4,1,3
10.24.0.237,db-matrix-00237.example.internal,LEG-LEGACY-HR-OPS,23,3,4,5
10.24.0.238,queue-cedar-00238.test.internal,LEG-LEGACY-CRM-SVC,10,5,5,3
10.24.0.239,cache-ember-00239.test.internal,LEG-LEGACY-HR-OPS,23,4,4,4
10.24.0.240,proxy-echo-00240.assets.local,BRA-DATA-APP,18,3,5,5
10.24.0.241,cache-cedar-00241.assets.local,CHA-JUMP-SVC,7,1,2,5
10.24.0.242,queue-cedar-00242.example.internal,LEG-LEGACY-HR-OPS,20,3,4,5
10.24.0.243,jump-vector-00243.assets.local,ALP-WEB-OPS,21,4,5,5
10.24.0.244,etl-charlie-00244.test.internal,LEG-LEGACY-HR-OPS,23,5,5,4
10.24.0.245,batch-delta-00245.test.internal,LEG-LEGACY-IDM-APP,15,4,4,4
10.24.0.246,api-harbor-00246.example.internal,BRA-INGEST-SYS,9,3,4,4
10.24.0.247,dmz-delta-00247.labs.local,ALP-AUTH-SVC,17,4,5,4
10.24.0.248,etl-zenith-00248.example.internal,BRA-STREAM-APP,30,2,2,3
10.24.0.249,batch-matrix-00249.corp.local,CHA-MONITOR-SVC,1,4,5,5
10.24.0.250,queue-cedar-00250.example.internal,LEG-LEGACY-IDM-APP,17,4,4,4
10.24.0.251,int-echo-00251.test.internal,CHA-MONITOR-SVC,3,5,2,4
10.24.0.252,db-echo-00252.corp.local,CHA-DNS-APP,30,5,4,5
10.24.0.253,jump-pixel-00253.example.internal,ALP-ADMIN-SVC,25,4,1,5
10.24.0.254,report-quartz-00254.test.internal,ALP-AUTH-SVC,22,5,5,4
10.24.0.255,proxy-delta-00255.corp.local,BRA-BI-SYS,30,5,2,1
10.24.1.254,api-raven-00256.test.internal,CHA-MAIL-OPS,6,2,5,2
10.24.1.1,queue-vector-00257.labs.local,BRA-BATCH-SYS,12,2,4,5
10.24.1.2,int-ember-00258.ops.local,CHA-DNS-APP,30,5,5,1
10.24.1.3,web-alpha-00259.ops.local,ALP-API-APP,19,5,5,4
10.24.1.4,etl-zenith-00260.test.internal,BRA-ETL-APP,9,2,4,4
10.24.1.5,queue-orion-00261.ops.local,LEG-LEGACY-HR-OPS,19,5,3,5
10.24.1.6,mon-echo-00262.ops.local,LEG-LEGACY-ERP-OPS,25,2,4,5
10.24.1.7,portal-cedar-00263.ops.local,BRA-ETL-APP,9,5,2,5
10.24.1.8,svc-harbor-00264.assets.local,ALP-WEB-OPS,22,4,5,5
10.24.1.9,cache-alpha-00265.assets.local,ALP-PAY-OPS,26,2,1,1
10.24.1.10,dmz-atlas-00266.ops.local,BRA-BI-SYS,30,3,5,4
10.24.1.11,proxy-zenith-00267.ops.local,LEG-LEGACY-CRM-SVC,12,5,5,5
10.24.1.12,batch-nova-00268.corp.local,LEG-LEGACY-ERP-OPS,28,4,2,3
10.24.1.13,api-alpha-00269.example.internal,BRA-POSTGRES-APP,12,4,2,4
10.24.1.14,jump-summit-00270.corp.local,BRA-STREAM-APP,19,4,2,3
10.24.1.15,db-quartz-00271.ops.local,LEG-LEGACY-IDM-APP,11,4,5,5
10.24.1.16,app-matrix-00272.assets.local,LEG-LEGACY-IDM-APP,12,3,5,5
10.24.1.17,app-echo-00273.labs.local,BRA-STREAM-APP,16,5,1,4
10.24.1.18,report-delta-00274.labs.local,BRA-MODEL-APP,7,3,5,3
10.24.1.19,report-foxtrot-00275.example.internal,BRA-LAKE-SYS,5,2,4,4
10.24.1.20,cache-harbor-00276.ops.local,ALP-PAY-OPS,30,5,2,2
10.24.1.21,node-atlas-00277.assets.local,ALP-ADMIN-SVC,24,4,5,3
10.24.1.22,cache-nova-00278.assets.local,BRA-BATCH-SYS,11,1,2,4
10.24.1.23,etl-orion-00279.test.internal,ALP-WEB-OPS,22,5,5,5
10.24.1.24,svc-matrix-00280.labs.local,BRA-INDEX-SVC,17,4,3,2
10.24.1.25,cache-cedar-00281.corp.local,LEG-LEGACY-CRM-SVC,13,3,5,1
10.24.1.26,worker-orion-00282.assets.local,BRA-LAKE-SYS,3,4,5,3
10.24.1.27,svc-cedar-00283.labs.local,BRA-SYNC-APP,7,3,3,5
10.24.1.28,web-raven-00284.ops.local,CHA-PROXY-SYS,30,4,5,3
10.24.1.29,jump-matrix-00285.test.internal,CHA-MONITOR-SVC,1,3,5,2
10.24.1.30,portal-quartz-00286.labs.local,LEG-LEGACY-HR-OPS,23,3,5,4
10.24.1.31,db-quartz-00287.labs.local,BRA-POSTGRES-APP,8,4,5,5
10.24.1.32,batch-cedar-00288.ops.local,ALP-WEB-OPS,20,3,5,4
10.24.1.33,queue-vector-00289.corp.local,CHA-PROXY-SYS,30,1,2,5
10.24.1.34,proxy-echo-00290.corp.local,ALP-AUTH-SVC,12,4,5,4
10.24.1.35,app-delta-00291.corp.local,ALP-AUTH-SVC,15,3,5,5
10.24.1.36,proxy-charlie-00292.corp.local,CHA-VPN-OPS,25,4,5,5
10.24.1.37,mon-vector-00293.test.internal,ALP-REPORT-SYS,26,5,2,4
10.24.1.38,app-bravo-00294.assets.local,BRA-BATCH-SYS,14,4,4,3
10.24.1.39,cache-falcon-00295.ops.local,CHA-MONITOR-SVC,1,4,5,5
10.24.1.40,mon-delta-00296.ops.local,BRA-STREAM-APP,24,4,2,2
10.24.1.41,api-harbor-00297.test.internal,CHA-MONITOR-SVC,3,5,5,5
10.24.1.42,svc-orion-00298.labs.local,BRA-MODEL-APP,6,2,1,4
10.24.1.43,svc-orion-00299.corp.local,CHA-MONITOR-SVC,4,5,5,3
10.24.1.44,worker-pixel-00300.corp.local,BRA-WAREHOUSE-SVC,18,1,3,3
10.24.1.45,edge-atlas-00301.ops.local,ALP-API-APP,22,2,3,4
10.24.1.46,auth-atlas-00302.example.internal,BRA-LAKE-SYS,0,5,2,5
10.24.1.47,api-vector-00303.assets.local,BRA-BATCH-SYS,17,5,5,3
10.24.1.48,proxy-matrix-00304.corp.local,BRA-ETL-APP,9,2,5,3
10.24.1.49,node-alpha-00305.ops.local,CHA-MONITOR-SVC,2,5,5,5
10.24.1.50,dmz-quartz-00306.corp.local,BRA-BATCH-SYS,10,5,5,5
10.24.1.51,proxy-vector-00307.assets.local,ALP-ORDER-OPS,25,1,2,2
10.24.1.52,node-atlas-00308.corp.local,BRA-ETL-APP,7,5,5,2
10.24.1.53,int-delta-00309.example.internal,BRA-BATCH-SYS,14,5,5,4
10.24.1.54,node-atlas-00310.test.internal,BRA-WAREHOUSE-SVC,17,2,4,1
10.24.1.55,worker-raven-00311.corp.local,BRA-LAKE-SYS,6,1,1,5
10.24.1.56,proxy-raven-00312.ops.local,ALP-PAY-OPS,23,3,3,4
10.24.1.57,web-orion-00313.example.internal,CHA-VPN-OPS,30,5,4,1
10.24.1.58,portal-harbor-00314.example.internal,ALP-PAY-OPS,20,4,2,3
10.24.1.59,mon-summit-00315.corp.local,BRA-MODEL-APP,2,1,3,3
